mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel__maxlen,param_kernel__ssk_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
193.215185213089,1.9096783137745226,44.973353719711305,1.7109224856808314,1,4,1.4,"{'C': 1, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9252915127470066,0.8810537485094523,0.9208209661002956,0.867800722458798,0.7596586569119516,1.0,0.8703882184221815,0.9164068641553849,0.869927303609762,0.9184397201413013,0.8929787713056132,0.05836272472114651,8
193.89430551528932,1.575369118711606,44.93592391014099,2.1093563956126626,2,4,1.4,"{'C': 2, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8513978991790179,0.9208209661002956,0.867800722458798,0.7698425386055096,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8900326630032793,0.05613901199800083,10
193.25410823822023,2.037580276880519,44.71017122268677,1.864444571667781,3,4,1.4,"{'C': 3, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8302635912424368,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8909464957335029,0.05217923111336918,9
195.38761947154998,4.638201214015469,44.772457647323606,1.8354987647532062,4,4,1.4,"{'C': 4, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8603301219253001,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8939531488017891,0.04938751807570952,5
193.65126392841339,3.6343422015736806,44.826809430122374,1.5211301594571964,5,4,1.4,"{'C': 5, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8603301219253001,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8939531488017891,0.04938751807570952,5
193.5724000453949,3.546250769369049,44.94977424144745,1.6357385045731967,6,4,1.4,"{'C': 6, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8603301219253001,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8939531488017891,0.04938751807570952,5
193.77786169052123,1.819050342869098,45.492148113250735,1.830278643756499,7,4,1.4,"{'C': 7, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8810537485094523,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8960255114602044,0.04835722194095755,1
195.63521208763123,4.90391647666588,45.831985759735105,3.2549289420278056,8,4,1.4,"{'C': 8, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8810537485094523,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8960255114602044,0.04835722194095755,1
196.8037155866623,3.724972206216974,44.89036331176758,1.6157144616498162,9,4,1.4,"{'C': 9, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8810537485094523,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8960255114602044,0.04835722194095755,1
173.34131577014924,23.873733171033454,37.21010980606079,8.09244527866217,10,4,1.4,"{'C': 10, 'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}",0.9208209661002956,0.8810537485094523,0.9208209661002956,0.867800722458798,0.800115173844326,1.0,0.8703882184221815,0.9164068641553849,0.8935790486186151,0.889269406392694,0.8960255114602044,0.04835722194095755,1
