mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_kernel__maxlen	param_kernel__ssk_lambda	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
586.6809782981873	13.303813595002762	294.64364953041076	7.291701571482867	3	1.2	{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.2}	0.9340808971963417	0.8719671272272647	0.8668451156610704	0.8685350387144032	0.8568621457839738	0.8796580649166106	0.027671438363449413	8
579.5494920253753	9.459734793227469	291.9745954990387	7.814778303718737	3	1.3	{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.3}	0.9073928715621604	0.8719671272272647	0.8668451156610704	0.8685350387144032	0.8568621457839738	0.8743204597897745	0.01728274971975848	12
583.6846130847931	7.817414544282201	295.203036737442	12.029459601927345	3	1.4	{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.4}	0.9073928715621604	0.8867889026274117	0.8668451156610704	0.8685350387144032	0.8454616243134181	0.8750047105756927	0.02082829682648506	11
581.7040800571442	13.431421361363158	295.3541131973267	8.394120639138611	3	1.5	{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.5}	0.9218244423915496	0.8867889026274117	0.8818187484260797	0.8832834168826258	0.8419597472426774	0.8831350515140688	0.02532737626511151	5
783.2366566181183	15.554284877879152	379.2437388896942	10.718576738930345	4	1.2	{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.2}	0.919794589566452	0.8867889026274117	0.8739633030253172	0.8832834168826258	0.8537578448369638	0.8835176113877541	0.021464872944700526	4
778.7038345336914	19.979704476784274	385.3701015949249	14.758844785798733	4	1.3	{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.3}	0.9218244423915496	0.8867889026274117	0.8852294778561162	0.8685350387144032	0.8568621457839738	0.883848001474691	0.021979493520790403	3
736.2515218734741	32.48149102461127	348.92542867660524	37.90005042650605	4	1.4	{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.4}	0.9098659379486209	0.8867889026274117	0.8852294778561162	0.8685350387144032	0.8454616243134181	0.8791761962919941	0.021383930212587422	9
710.7957031726837	13.488700520141593	329.1835699558258	7.829595427601723	4	1.5	{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.5}	0.9098659379486209	0.8867889026274117	0.8852294778561162	0.8832834168826258	0.8454616243134181	0.8821258719256384	0.02071952920002989	6
866.05515127182	17.65183121145767	342.9512300491333	25.717244006313734	5	1.2	{'kernel__maxlen': 5, 'kernel__ssk_lambda': 1.2}	0.919794589566452	0.8867889026274117	0.8550595427082014	0.8832834168826258	0.8568621457839738	0.8803577195137329	0.02365259510271778	7
855.0286377429962	19.67727749276187	350.51146626472473	27.07155119863179	5	1.3	{'kernel__maxlen': 5, 'kernel__ssk_lambda': 1.3}	0.919794589566452	0.9015905373704981	0.8739633030253172	0.8832834168826258	0.8419597472426774	0.884118318817514	0.02630300849684703	2
811.3829548835754	48.27025305514923	302.1733013629913	42.932016929650615	5	1.4	{'kernel__maxlen': 5, 'kernel__ssk_lambda': 1.4}	0.9340808971963417	0.9015905373704981	0.8739633030253172	0.8832834168826258	0.8343211149261982	0.8854478538801962	0.03279110325799715	1
794.9563680171966	9.551130726967447	253.8534885406494	16.370568728445072	5	1.5	{'kernel__maxlen': 5, 'kernel__ssk_lambda': 1.5}	0.9098659379486209	0.8867889026274117	0.8739633030253172	0.8685350387144032	0.8454616243134181	0.8769229613258342	0.02122031600205635	10
